antecedents,consequents,support,confidence,lift
Month_Feb,Dept_51,0.057692307692307696,0.75,2.4375
Month_Mar,Dept_51,0.04881656804733728,0.6346153846153846,2.0624999999999996
Dept_50,Dept_37,0.08284023668639054,1.0,1.8571428571428572
Dept_37,Dept_99,0.27958579881656803,0.5192307692307693,1.8376963350785342
Dept_99,Dept_37,0.27958579881656803,0.9895287958115183,1.837696335078534
Month_Apr,Dept_51,0.05325443786982249,0.5538461538461539,1.8
Dept_50,Dept_48,0.07692307692307693,0.9285714285714285,1.7244897959183674
Dept_78,Dept_99,0.04142011834319527,0.4745762711864407,1.679652143047298
Month_Aug,Dept_99,0.03550295857988166,0.4615384615384615,1.6335078534031413
Dept_78,Dept_51,0.04142011834319527,0.4745762711864407,1.542372881355932
Dept_37,Dept_83,0.5384615384615384,1.0,1.44136460554371
Dept_50,Dept_83,0.08284023668639054,1.0,1.44136460554371
Dept_99,Dept_83,0.28254437869822485,1.0,1.44136460554371
Dept_83,Dept_37,0.5384615384615384,0.7761194029850745,1.44136460554371
Dept_83,Dept_99,0.28254437869822485,0.4072494669509595,1.44136460554371
Dept_37,Dept_93,0.5384615384615384,1.0,1.4382978723404256
Dept_50,Dept_93,0.08284023668639054,1.0,1.4382978723404256
Dept_99,Dept_93,0.28254437869822485,1.0,1.4382978723404256
Dept_93,Dept_37,0.5384615384615384,0.774468085106383,1.4382978723404256
Dept_93,Dept_99,0.28254437869822485,0.40638297872340423,1.4382978723404254
Dept_83,Dept_93,0.6923076923076923,0.997867803837953,1.435231139137141
Dept_93,Dept_83,0.6923076923076923,0.9957446808510638,1.4352311391371408
Month_Feb,Dept_99,0.03106508875739645,0.4038461538461538,1.4293193717277486
Dept_78,Dept_37,0.06656804733727811,0.7627118644067797,1.4164648910411624
Dept_50,Dept_45,0.07544378698224852,0.9107142857142856,1.3960155490767734
Month_Jun,Dept_51,0.03254437869822485,0.4230769230769231,1.375
Dept_78,Dept_83,0.08284023668639054,0.9491525423728814,1.3680748798380975
Dept_78,Dept_93,0.08284023668639054,0.9491525423728814,1.3651640822214208
Dept_48,Dept_37,0.3890532544378698,0.7225274725274725,1.3418367346938775
Dept_37,Dept_48,0.3890532544378698,0.7225274725274725,1.3418367346938775
Dept_80,Dept_37,0.5384615384615384,0.7222222222222222,1.3412698412698414
Dept_37,Dept_80,0.5384615384615384,1.0,1.3412698412698412
Dept_50,Dept_80,0.08284023668639054,1.0,1.3412698412698412
Dept_99,Dept_80,0.28254437869822485,1.0,1.3412698412698412
Dept_80,Dept_99,0.28254437869822485,0.37896825396825395,1.3412698412698412
Dept_93,Dept_80,0.6937869822485208,0.997872340425532,1.3384160756501182
Dept_80,Dept_93,0.6937869822485208,0.9305555555555556,1.3384160756501182
Dept_83,Dept_80,0.6923076923076923,0.997867803837953,1.3384099908620164
Dept_80,Dept_83,0.6923076923076923,0.9285714285714285,1.3384099908620162
Dept_37,Dept_58,0.5384615384615384,1.0,1.3100775193798448
Dept_50,Dept_58,0.08284023668639054,1.0,1.3100775193798448
Dept_58,Dept_37,0.5384615384615384,0.7054263565891472,1.3100775193798448
Month_Dec,Dept_99,0.03550295857988166,0.3692307692307692,1.3068062827225129
Dept_58,Dept_99,0.28106508875739644,0.3682170542635659,1.303218474775762
Dept_99,Dept_58,0.28106508875739644,0.9947643979057591,1.3032184747757618
